"","i","effect_size","rho_predictors","n","causal_struc","shap_time","megashap_time","ji_shap","ji_mshap","cor_shap","cor_mshap"
"251",251,0.154946746078535,0.334392735514252,200,"suppression",0.980675935745239,0.16205096244812,0.666666666666667,0.666666666666667,0.651912604811594,0.633241237883158
"252",252,0.35718992815714,0.0677236150220297,400,"multiplicative",1.07087182998657,0.165042161941528,0.428571428571429,0.428571428571429,-0.0733907054274716,-0.0732445466470805
"253",253,0.0600919374961227,0.195140698968727,400,"multiplicative",1.14960718154907,0.166868925094604,0.25,0.25,-0.0160773663422941,-0.0482235960518331
"254",254,0.245744534096416,0.523528049931357,1600,"signal_diff",1.8619749546051,0.227874040603638,0.666666666666667,0.666666666666667,0.950319529698001,0.946589386943447
"255",255,0.447028924474031,0.896924916994847,800,"local_only",1.45905089378357,0.186562061309814,1,1,0.883191746970262,0.876313868912148
"256",256,0.244415452107418,0.564794644801246,800,"interaction",1.29242992401123,0.194593906402588,1,1,0.95324913910271,0.959535958010955
"257",257,0.194764291567489,0.604819741449902,200,"multiplicative",0.895720958709717,0.166070938110352,0.428571428571429,0.428571428571429,0.410895162733294,0.390334579495777
"258",258,0.578011033457307,0.586913415668064,400,"cond_imp",1.04212284088135,0.174581050872803,0.666666666666667,0.666666666666667,0.595898840324773,0.603018108364967
"259",259,0.263600489876443,0.295141627613795,200,"local_only",0.909483909606934,0.1597580909729,0.428571428571429,0.428571428571429,0.837166689234572,0.828175917347865
"260",260,0.477448759858809,0.888907039908847,200,"multiplicative",1.04470086097717,0.160720109939575,0.428571428571429,0.428571428571429,0.61412764681751,0.567978474172915
"261",261,0.11911402251006,0.721945453985747,200,"local_only",0.906980037689209,0.163327932357788,0.666666666666667,0.666666666666667,0.624324151848212,0.637595725243364
"262",262,0.372849366709746,0.447355223807946,1600,"suppression",1.81703305244446,0.226727962493896,0.666666666666667,0.666666666666667,0.726634279160565,0.714215511599803
"263",263,0.27800893993719,0.458886216522272,100,"multiplicative",0.860959053039551,0.168092966079712,0.666666666666667,0.666666666666667,0.609061605843268,0.627250241571082
"264",264,0.0993223359480141,0.187121488950511,100,"signal_diff",0.851408958435059,0.158264875411987,0.428571428571429,0.428571428571429,0.496994093947858,0.453342680972849
"265",265,0.306964847363692,0.748067781584826,400,"local_only",1.1602931022644,0.16926383972168,0.666666666666667,0.666666666666667,0.967156940583921,0.966741966804381
"266",266,0.0416877545116127,0.706660423750377,1600,"interaction",1.81456613540649,0.220134973526001,0.666666666666667,0.666666666666667,0.641249883893991,0.645692747460319
"267",267,0.219821696291425,0.133848846294116,1600,"signal_diff",1.94757699966431,0.21941614151001,0.666666666666667,0.666666666666667,0.971914339310063,0.971256268580621
"268",268,0.384981742844964,0.100148364233519,200,"local_only",0.893229961395264,0.15693998336792,0.428571428571429,0.428571428571429,0.677050004187888,0.695161839718266
"269",269,0.421275383519307,0.856059533255264,400,"interaction",1.02796816825867,0.180295944213867,1,1,0.782951798119645,0.78934695200377
"270",270,0.38472173284323,0.0239297370839364,800,"multiplicative",1.40009188652039,0.180598974227905,0.666666666666667,0.666666666666667,0.305185752328019,0.312569320561485
"271",271,0.0114955072270393,0.847117184172472,200,"suppression",0.92170000076294,0.1560378074646,0.666666666666667,0.666666666666667,-0.246092755772193,-0.258682985427723
"272",272,0.285633256754772,0.714051376148752,100,"linear",0.838809013366699,0.150418996810913,0.428571428571429,0.428571428571429,0.465353284161695,0.496460378407697
"273",273,0.376245341324022,0.784552463792943,100,"multiplicative",0.844459056854248,0.154666900634766,0.428571428571429,0.428571428571429,0.701782303741562,0.712023947117413
"274",274,0.539919642662463,0.364011530185677,800,"interaction",1.26707601547241,0.186892032623291,1,1,0.843498621879475,0.843423741113915
"275",275,0.428188784854316,0.66807011264809,200,"multiplicative",0.888216972351074,0.166975975036621,0.666666666666667,0.666666666666667,0.569501824519312,0.569831478036842
"276",276,0.397717884258674,0.452870041736627,200,"cond_imp",0.878594875335693,0.154401063919067,0.666666666666667,0.666666666666667,0.581175308959091,0.526937900131735
"277",277,0.0724389609106127,0.8489378115812,400,"suppression",0.9911208152771,0.177331209182739,0.666666666666667,0.666666666666667,0.195654982227857,0.21815389391861
"278",278,0.279761910017225,0.648300784953535,400,"signal_diff",1.11117696762085,0.173249006271362,0.666666666666667,0.666666666666667,0.962630968164993,0.963705147770218
"279",279,0.272362707660404,0.888984384343203,200,"suppression",0.918946027755737,0.162796974182129,0.428571428571429,0.428571428571429,0.49304797839552,0.489036801501283
"280",280,0.385611972307621,0.85391347152507,1600,"linear",1.93429613113403,0.224261999130249,1,1,0.982531614771745,0.983344211265115
"281",281,0.508975679862067,0.539402642309607,200,"signal_diff",0.897742033004761,0.154565095901489,0.428571428571429,0.428571428571429,0.511289035993946,0.544277710844476
"282",282,0.476952089184438,0.0290786792636768,100,"cond_imp",0.832142114639282,0.159642934799194,0.666666666666667,0.666666666666667,0.914327385368998,0.895287681358218
"283",283,0.207566276046863,0.868548700972025,100,"linear",0.84293007850647,0.161051988601685,0.428571428571429,0.428571428571429,0.482335073695929,0.478771078979709
